Nom de la manifestation,Région,Domaine,Complément domaine,Département,Périodicité,Mois habituel de début,Site web,N° Identification,Commune principale,Autres communes,N° de l'édition 2018,Date de début,Date de fin,Date de création,Soutenu en 2017 par le ministère de la culture ,Soutenu en 2017 par le Centre national du cinéma ,Soutenu en 2017 par le Centre national du livre ,Soutenu en 2017 par le Centre national des variétés ,Soutenu en 2018 par le ministère de la culture ,Soutenu en 2018 par le Centre national du cinéma ,Soutenu en 2018 par le Centre national du livre ,Soutenu en 2018 par le Centre national des variétés ,Code postal,Code INSEE,coordonnees_insee,Libellé commune pour calcul CP,,,,,,,,,
FESTIVAL AMERICA DE VINCENNES,Île-de-France,Livre et littérature,Littératures étrangères,94,Annuelle,09 (septembre),www.festival-america.org,HK014,VINCENNES,,9,,,1/1/2010,,,,,,,,,94300,94080,48.8473732,,,,,,,,,,
CADENCES,Nouvelle-Aquitaine,Danse,,33,Annuelle,09 (septembre),http://www.ville-arcachon.fr/,JF003,ARCACHON,,18,,,1/1/2001,,,,,,,,,33120,33009,44.65290028,,,,,,,,,,
LES VENDANGES MUSICALES,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,69,,09 (septembre),www.lesvendangesmusicales.fr,AD269,CHARNAY,,5,,,,,,,,,,,,69380,69047,45.89118755,,,,,,,,,,
SURFIN BIRD FESTIVAL,Bourgogne-Franche-Comté,Musiques actuelles,,39,,09 (septembre),www.jura-tourism.com/offre/fiche/surfin-bird-festival/320006631,BD084,LONS LE SAUNIER,,,,,,,,,,,,,,39000,39300,46.67447963,,,,,,,,,,
L'AUTOMNE DE MORTHOMIERS,Centre-Val de Loire,Musiques actuelles,Musiques amplifiées ou électroniques,18,Annuelle,09 (septembre),http://www.automne-morthomiers.com,DD009,MORTHOMIERS,,7,,,1/1/2012,,,,,,,,,18570,18157,47.04366306,,,,,,,,,,
FESTIVAL DE LAON,Hauts-de-France,Musiques classiques,,2,Annuelle,09 (septembre),www.festival-laon.fr,GE010,LAON,,30,,,1/1/1989,,,,,,,,,2000,2408,49.56797249,,,,,,,,,,
ROSCELLA BAY FESTIVAL,Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,17,Annuelle,09 (septembre),http://www.roscellabay.fr/,JD205,LA ROCHELLE,,4,,,1/1/2015,,,,,,,,,17000,17300,46.1620644,,,,,,,,,,
BIG BAG FESTIVAL,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,65,Annuelle,09 (septembre),http://www.bigbagfestival.com,KD171,BAGNERES DE BIGORRE,,5,,,1/1/2014,,,,,,,,,65200,65059,42.97586689,,,,,,,,,,
LES GROSSES GUITARES,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,69,Annuelle,09 (septembre),http://www.lesgrossesguitares.com,AD270,VAUGNERAY,Messimy,18,,,1/1/2001,,,,,,,,,69670,69255,45.73187925,,,,,,,,,,
CULTURE AU QUAI,Île-de-France,Transdisciplinaire,,75,Annuelle,09 (septembre),www.cultureauquai.com,HA014,PARIS,,11,,,1/1/2009,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
ELDORADO MUSIC FESTIVAL,Île-de-France,Musiques actuelles,,75,Annuelle,09 (septembre),http://www.cafedeladanse.com,HD039,PARIS,,10,,,1/1/2009,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
FESTIVAL DE JERUSALEM,Île-de-France,Musiques classiques,Musique de chambre,75,,09 (septembre),www.philharmoniedeparis.fr/fr/activite/musique-de-chambre/19023-festival-de-jerusalem,HE017,PARIS,,,,,,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
MINIFEST JAZZ AU EL CAMINO,Normandie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinard Film Festival,Bretagne,Cinéma et audiovisuel,Cinémas étrangers,35,Annuelle,09 (septembre),www.festivaldufilm-dinard.com,CJ006,DINARD,,29,,,1/1/1990,,,,,,,,,35800,35093,48.62418059,,,,,,,,,,
LES EMOUVANTES,Provence-Alpes-Côte d'Azur,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIBU FESTIVAL,Bourgogne-Franche-Comté,Musiques actuelles,,21,Biennale années paires,09 (septembre),www.tribufestival.com,BD069,DIJON,,,,,1/1/1999,,,,oui,,,,,21000,21231,47.3229438,,,,,,,,,,
ATLANTIQUE JAZZ FESTIVAL,Bretagne,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABLE EST DANS LA BOÎTE,Bretagne,Musiques actuelles,,29,,09 (septembre),www.boestandiaoul.org,CD071,CLOHARS CARNOET,,,,,,,,,,,,,,29360,29031,47.79434071,,,,,,,,,,
FESTIVENDANGES,Centre-Val de Loire,Musiques actuelles,,18,Annuelle,09 (septembre),http://www.festivendanges.com,DD011,SANCERRE,,5,,,1/1/2014,,,,,,,,,18300,18241,47.3256994,,,,,,,,,,
FESTIVAL SON DE GLANE,Nouvelle-Aquitaine,Pluridisciplinaire Spectacle vivant,,87,Annuelle,09 (septembre),www.sondeglane.com,JB033,Oradour sur Glane,,3,,,1/1/2016,,,,,,,,,87520,87110,45.93107281,,,,,,,,,,
CHANTONS SOUS LES TOITS,Occitanie,Musiques actuelles,Chanson,81,Annuelle,09 (septembre),http://acarthes.free.fr/,KD198,Arthes,,12,,,1/1/2007,,,,,,,,,81160,81018,43.96388155,,,,,,,,,,
Biennale d'art contemporain de Rennes,Bretagne,Arts plastiques et visuels,,35,Biennale années paires,09 (septembre),,CI003,RENNES,,6,,,,,,,,,,,,35700,35238,48.11197912,,,,,,,,,,
MUSCADEATH,Pays de la Loire,Musiques actuelles,Musiques amplifiées ou électroniques,44,Annuelle,09 (septembre),http://muscadeath.fr/,LD130,Vallet,,17,,,1/1/2002,,,,,,,,,44330,44212,47.17151533,,,,,,,,,,
ART N JAZZ FESTIVAL,Bourgogne-Franche-Comté,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPHEMERE,Auvergne-Rhône-Alpes,Musiques actuelles,,1,,09 (septembre),,AD117,HAUTEVILLE LOMPNES,,,,,,,,,,,,,,1110,1185,45.96965201,,,,,,,,,,
FERTOIS ROCK IN FEST,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,77,,09 (septembre),,HD100,La Ferté sous Jouarre,,,,,,,,,,,,,,77260,77183,48.95401641,,,,,,,,,,
JAZZCONTREBAND,Auvergne-Rhône-Alpes,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival des cinémas différents et expérimentaux de Paris,Île-de-France,Cinéma et audiovisuel,,75,Annuelle,10 (octobre),http://www.cjcinema.org/pages/festival_edition.php,HJ021,PARIS,,20,,,1/1/1999,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
Des cirques Indisciplinés,Provence-Alpes-Côte d'Azur,Cirque et Arts de la rue,Cirque,13,Annuelle,10 (octobre),www.theatre-arles.com,MM005,ARLES,,6,,,1/1/2013,,,,,,,,,13123,13004,43.54686924,,,,,,,,,,
RHINO JAZZ(S) FESTIVAL,Auvergne-Rhône-Alpes,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Expressifs,Nouvelle-Aquitaine,Pluridisciplinaire Spectacle vivant,,86,Annuelle,10 (octobre),www.lesexpressifs.com,JB029,POITIERS,,23,,,1/1/1996,,,,,,,,,86000,86194,46.58392077,,,,,,,,,,
A TANT REVER DU ROI,Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,64,Annuelle,10 (octobre),www.atrdr.net/festival,JD148,PAU,,7,,,1/1/2012,,,,,,,,,64000,64445,43.32001898,,,,,,,,,,
ATTENTION LES FEUILLES !,Auvergne-Rhône-Alpes,Musiques actuelles,Chanson,74,Annuelle,10 (octobre),http://theatredescollines.annecy.fr/festivals/attention-les-feuilles/,AD023,MEYTHET,Rumilly (74)  /  Cran Gevrier (74)  / Annecy Le Vieux (74)  /  Montagny les Lanches (74)  / Argonay (74)  /  Annecy (74),18,,,1/1/2001,,,,,,,,,74960,74182,45.91844147,,,,,,,,,,
RISING FEST,Bourgogne-Franche-Comté,Musiques actuelles,Musiques amplifiées ou électroniques,21,Annuelle,10 (octobre),https://risingfest.wixsite.com/risingfest,BD061,DIJON,,7,,,1/1/2012,,,,,,,,,21000,21231,47.3229438,,,,,,,,,,
AZIMUT FESTIVAL,Bourgogne-Franche-Comté,Musiques actuelles,,39,Annuelle,10 (octobre),www.azimutfestival.com,BD070,LA PESSE,,29,,,1/1/1990,,,,,,,,,39370,39413,46.28646854,,,,,,,,,,
ARMOR DE RIRE,Bretagne,Divers Spectacle vivant,Humour,22,Annuelle,10 (octobre),http://armor-de-rire.net-helium.fr/,CH002,ST BRIEUC,,3,,,1/1/2016,,,,,,,,,22000,22278,48.51498061,,,,,,,,,,
ÉCLATS DE VOIX (MAULÉON),Nouvelle-Aquitaine,Musiques actuelles,Chanson,79,Annuelle,10 (octobre),www.festival-eclats-de-voix.fr,JD158,NUEIL LES AUBIERS,,24,,,1/1/1995,,,,,,,,,79250,79195,46.94031724,,,,,,,,,,
JAZZ & GARONNE,Nouvelle-Aquitaine,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURREALIZM,Occitanie,Pluridisciplinaire Spectacle vivant,,11,,10 (octobre),https://fr-fr.facebook.com/Surrealizmfestival/,KB029,CARCASSONNE,,,,,,,,,,,,,,11000,11069,43.20937984,,,,,,,,,,
CELTOMANIA,Pays de la Loire,Musiques actuelles,Musiques traditionnelles et du monde,44,Annuelle,10 (octobre),www.celtomania.fr,LD002,NANTES,Plusieurs communes de Loire-Atlantique,29,,,1/1/1990,,,,,,,,,44200,44109,47.23163568,,,,,,,,,,
Festival du film du Croisic De la page à l'image,Pays de la Loire,Cinéma et audiovisuel,,44,Annuelle,10 (octobre),http://www.festivaldufilmducroisic.com/,LJ006,Le Croisic,,12,,,1/1/2007,,,,,,,,,44490,44049,47.29227434,,,,,,,,,,
HYPNOTIK,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,69,Annuelle,10 (octobre),www.elektrosystem.org,AD185,CHASSIEU,,16,,,1/1/2003,,,,,,,,,69680,69271,45.7376149,,,,,,,,,,
BLUES DE TRAVERSE,Normandie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival Jean Carmet,Auvergne-Rhône-Alpes,Cinéma et audiovisuel,,3,,10 (octobre),www.cinebocage.com,AJ042,Moulins,,,,,1/1/1996,oui,,,,,,,,3000,3190,46.56246411,,,,,,,,,,
PIANOSCOPE,Hauts-de-France,Musiques classiques,,60,Annuelle,10 (octobre),www.pianoscope.beauvais.fr,GE012,BEAUVAIS,,13,,,1/1/2006,,,,,,,,,60000,60057,49.43655233,,,,,,,,,,
ECOUTER POUR L'INSTANT,Nouvelle-Aquitaine,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRTHDAY FESTIVAL,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,74,Annuelle,10 (octobre),https://fr-fr.facebook.com/birthdayfestival/,AD037,ANNECY,,7,,,1/1/2012,,,,,,,,,74000,74010,45.89064326,,,,,,,,,,
FESTIVAL DE LISLEDON,Centre-Val de Loire,Musiques classiques,,45,Annuelle,10 (octobre),www.lisledonfestival.fr,DE016,Villemandeur,,4,,,1/1/2015,,,,,,,,,45700,45338,47.98301875,,,,,,,,,,
BIG BANG FESTIVAL,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,93,Annuelle,10 (octobre),www.marvellous-island.fr,HD159,La Plaine ST Denis,,6,,,1/1/2013,,,,,,,,,93200,93066,48.92956505,,,,,,,,,,
Semaine de la pop philosophie,Provence-Alpes-Côte d'Azur,Livre et littérature,Sciences humaines et sociales,13,Annuelle,10 (octobre),https://www.semainedelapopphilosophie.fr/,MK004,MARSEILLE,,10,,,1/1/2009,,,oui,,,,,,13001,13201,43.29990094,,,,,,,,,,
Festival Milatsika,Mayotte,Musiques actuelles,Musiques traditionnelles et du monde,976,,10 (octobre),www.festivalmilatsika.com,RD001,CHICONI,,,,,1/1/2007,oui,,,,,,,,97670,97605,-12.82152223,,,,,,,,,,
Festival du cinéma des peuples Anuu-ru-Aboro,Nouvelle Calédonie,Cinéma et audiovisuel,,988,Annuelle,10 (octobre),http://www.anuuruaboro.com/,SJ004,Poindimie,,12,,,1/1/2007,oui,,,,,,,,98822,98822,-20.936331,,,,,,,,,,
LE FESTIF DE GANAM,Normandie,Musiques actuelles,Musiques amplifiées ou électroniques,27,Annuelle,10 (octobre),www.gasny.fr/,ID018,GASNY,,17,,,1/1/2002,,,,,,,,,27620,27279,49.10202185,,,,,,,,,,
Festival Chacun son court,Grand Est,Cinéma et audiovisuel,Courts-métrages,67,Annuelle,10 (octobre),http://chacunsoncourt.eu/fr/accueil/,FJ022,STRASBOURG,,8,,,1/1/2011,oui,,,,,,,,67100,67482,48.57126798,,,,,,,,,,
TOUT SIMPLEMENT HIP HOP,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,30,Annuelle,10 (octobre),www.dastorm.fr,KD253,NIMES,,12,,,1/1/2007,,,,,,,,,30900,30189,43.84493839,,,,,,,,,,
Carnavalorock,Bretagne,Musiques actuelles,Musiques amplifiées ou électroniques,22,Annuelle,10 (octobre),www.carnavalorock.com,CD049,ST BRIEUC,,2,,,1/1/2017,,,,,,,,,22000,22278,48.51498061,,,,,,,,,,
TELERAMA DUB FESTIVAL,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,75,Annuelle,10 (octobre),www.teleramadubfestival.fr,HD193,PARIS,Barcelone (Espagne)  / Lyon (69)  / Marseille (13)  /  Ramonville (31),17,,,1/1/2002,,,,oui,,,,,75001,75101,48.86263049,,,,,,,,,,
SCENES D'AUTOMNE,Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,87,Annuelle,10 (octobre),www.debroussaillons-lexpression.com,JD191,ST MAURICE LES BROUSSES,,29,,,1/1/1990,,,,,,,,,87800,87169,45.69973122,,,,,,,,,,
FESTIVAL DES CRO MIGNONS,Bourgogne-Franche-Comté,Musiques actuelles,,89,Annuelle,10 (octobre),www.lesilex.fr,BD098,AUXERRE,,1,,,1/1/2018,,,,,,,,,89000,89024,47.79348823,,,,,,,,,,
Planches Contact,Normandie,Arts plastiques et visuels,Photographie,14,Annuelle,10 (octobre),https://www.indeauville.fr/,II001,DEAUVILLE,,9,,,1/1/2010,oui,,,,,,,,14800,14220,49.35438009,,,,,,,,,,
Festival CharivaRue,Grand Est,Cirque et Arts de la rue,Arts de la rue,67,,10 (octobre),www.esat-evasion.fr,FM012,SELESTAT,,,,,,,,,,,,,,67600,67462,48.24811363,,,,,,,,,,
WORLDSTOCK,Île-de-France,Musiques actuelles,Musiques traditionnelles et du monde,75,Annuelle,10 (octobre),www.worldstockfestival.com,HD018,PARIS,,6,,,1/1/2013,,,,oui,,,,,75001,75101,48.86263049,,,,,,,,,,
Jazz en tête,Auvergne-Rhône-Alpes,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORSICA.DOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
En Ribambelle !,Provence-Alpes-Côte d'Azur,Divers Spectacle Vivant,Marionnettes,13,Annuelle,10 (octobre),www.festivalenribambelle.com,MH039,MARSEILLE,Istres,,,,,,,,,,,,,,,,,,,,,,,,,
JAMMIN JUAN FESTIVAL,Provence-Alpes-Côte d'Azur,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRASHMUSETTE,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,7,Annuelle,10 (octobre),http://www.crashmusette.fr/,AD305,LA VOULTE SUR RHONE,,5,,,1/1/2014,,,,,,,,,7800,7349,44.80154039,,,,,,,,,,
HEURES MUSICALES DE BINIC,Bretagne,Musiques classiques,,22,Annuelle,10 (octobre),www.musicalesdebinic.blogspot.com,CE013,BINIC,ST QUAY PORTRIEUX (22),5,,,1/1/2014,,,,,,,,,22520,22055,48.62553505,,,,,,,,,,
JAZZ AMARINOIS,Grand Est,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORNIC CLASSIC,Pays de la Loire,Musiques classiques,,44,Annuelle,10 (octobre),www.pornicclassic.weebly.com,LE009,PORNIC,,7,,,1/1/2012,,,,,,,,,44210,44131,47.12239725,,,,,,,,,,
FESTIVAL DES CAMPAGNES,Centre-Val de Loire,Musiques actuelles,Musiques amplifiées ou électroniques,41,Annuelle,10 (octobre),http://fdc.absolu-live.fr/,DD055,ST LAURENT NOUAN,,15,,,1/1/2004,,,,,,,,,41220,41220,47.70917437,,,,,,,,,,
JAZZYCOLORS,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIBRATIONS URBAINES,Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,33,Annuelle,10 (octobre),www.vibrations-urbaines.net,JD100,PESSAC,,21,,,1/1/1998,,,,,,,,,33600,33318,44.79159905,,,,,,,,,,
Traversées,Bourgogne-Franche-Comté,Cinéma et audiovisuel,,25,Annuelle,10 (octobre),https://www.ccjb.fr/,BJ015,PONTARLIER,,,,,,oui,,,,,,,,25300,25462,46.91197309,,,,,,,,,,
Ô LES CHOEURS,Nouvelle-Aquitaine,Musiques actuelles,,19,Annuelle,10 (octobre),https://elizabethmydear.fr/,JD215,TULLE,,22,,,1/1/1997,,,,,,,,,19000,19272,45.2731517,,,,,,,,,,
ACCES)S( CULTURE(S) ÉLECTRONIQUE(S(,Nouvelle-Aquitaine,Transdisciplinaire,Cultures électroniques,64,Annuelle,10 (octobre),www.acces-s.org,JA006,BILLERE,,18,,,1/1/2001,,,,,,,,,64140,64129,43.30452599,,,,,,,,,,
PRIMEURS DE CASTRES,Occitanie,Musiques actuelles,,81,Annuelle,11 (novembre),www.lesprimeursdecastres.fr,KD231,CASTRES,,4,,,1/1/2015,,,,,,,,,81100,81065,43.61565112,,,,,,,,,,
ABERS BLUES,Bretagne,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival Jean Rouch,Île-de-France,Cinéma et audiovisuel,,75,Annuelle,11 (novembre),http://www.comitedufilmethnographique.com/,HJ005,PARIS,,37,,,1/1/1982,oui,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
Shake La Rochelle,Nouvelle-Aquitaine,Danse,Danses urbaines,17,Annuelle,11 (novembre),http://shakelarochelle.com/,JF010,LA ROCHELLE,,3,,,1/1/2016,,,,,,,,,17000,17300,46.1620644,,,,,,,,,,
Musiques démesurées,Auvergne-Rhône-Alpes,Musiques classiques,Musique contemporaine,63,Annuelle,11 (novembre),http://www.musiquesdemesurees.net,AE013,CLERMONT FERRAND,,20,,,1/1/1999,oui,,,,,,,,63100,63113,45.7856493,,,,,,,,,,
Festival d’Augenblick,Grand Est,Cinéma et audiovisuel,,67,,11 (novembre),https://festival-augenblick.fr/fr/,FJ001,STRASBOURG,Diverses communes,,,,1/1/2005,oui,,,,,,,,67100,67482,48.57126798,,,,,,,,,,
TOUT EN HAUT DU JAZZ,Hauts-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au Fil de la marionnette,Nouvelle-Aquitaine,Divers Spectacle vivant,Marionnettes,64,,11 (novembre),http://spectaclevivant.hautbearn.fr/,JH021,Oloron STE Marie,,,,,,,,,,,,,,64400,64422,43.15608712,,,,,,,,,,
Les Ecrans documentaires,Île-de-France,Cinéma et audiovisuel,Documentaire,94,Annuelle,11 (novembre),www.lesecransdocumentaires.org,HJ059,ARCUEIL,,17,,,1/1/2002,oui,,,,,,,,94110,94003,48.80588036,,,,,,,,,,
LOOSTIK,Grand Est,Pluridisciplinaire Spectacle vivant,,57,Annuelle,11 (novembre),www.loostik.eu/start,FB020,FORBACH,,6,,,1/1/2013,,,,,,,,,57600,57227,49.19126504,,,,,,,,,,
Festival VIA,Hauts-de-France,Pluridisciplinaire Spectacle vivant,,59,Annuelle,11 (novembre),http://www.lemanege.com/,GB011,MAUBEUGE,,5,,,1/1/2014,,,,,,,,,59600,59392,50.28363072,,,,,,,,,,
Ritournelles,Nouvelle-Aquitaine,Livre et littérature,,33,Annuelle,11 (novembre),http://permanencesdelalitterature.fr/ritournelles/,JK010,BORDEAUX,,19,,,1/1/2000,,,oui,,,,,,33000,33063,44.85724454,,,,,,,,,,
JAZZ SOUS LES BIGARADIERS,Provence-Alpes-Côte d'Azur,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTS ZIK SOUS LES PINS,Bretagne,Musiques actuelles,Musiques amplifiées ou électroniques,56,Annuelle,11 (novembre),https://www.festival-mots-zik.com,CD179,ST JACUT LES PINS,,12,,,1/1/2007,,,,,,,,,56220,56221,47.67765227,,,,,,,,,,
Rencontres du Film d'Animation,Corse,Cinéma et audiovisuel,Animation,20,Annuelle,11 (novembre),,EJ008,BASTIA,,3,,,1/1/2016,,,,,,,,,20200,2B033,42.68647688,,,,,,,,,,
JAZZDOR,Grand Est,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'ESPRIT DU PIANO,Nouvelle-Aquitaine,Musiques classiques,,33,Annuelle,11 (novembre),http://www.espritdupiano.fr/,JE013,BORDEAUX,,9,,,1/1/2010,,,,,,,,,33000,33063,44.85724454,,,,,,,,,,
STOMPING AT SECRET PLACE,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,34,Annuelle,11 (novembre),www.tafproduction.blogspot.fr/,KD249,ST JEAN DE VEDAS,,8,,,1/1/2011,,,,,,,,,34430,34270,43.57162823,,,,,,,,,,
Rencontres littéraires Impressions d'Europe,Pays de la Loire,Livre et littérature,Littératures étrangères,44,Annuelle,11 (novembre),http://www.impressionsdeurope.com/,LK006,NANTES,,,,,,,,oui,,,,,,44200,44109,47.23163568,,,,,,,,,,
Festival des cinémas d'Afrique du Pays d'Apt,Provence-Alpes-Côte d'Azur,Cinéma et audiovisuel,Cinémas étrangers,84,Annuelle,11 (novembre),http://www.africapt-festival.fr/,MJ033,APT,,15,,,1/1/2004,oui,,,,,,,,84400,84003,43.87939327,,,,,,,,,,
Festival TOTAL DANSE,La Réunion,Danse,Danse contemporaine,974,Annuelle,11 (novembre),www.teat.re,PF001,ST DENIS,Dix à douze communes par édition,7,,,1/1/2012,oui,,,,,,,,97400,97411,-20.93297082,,,,,,,,,,
FESTIVAL INTERNATIONAL DES MUSIQUES JUIVES DE LYON,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques traditionnelles et du monde,69,Annuelle,11 (novembre),www.espace-hillel.com,AD284,LYON,,10,,,1/1/2009,,,,,,,,,69001,69381,45.76992844,,,,,,,,,,
BALLADES EN NOVEMBRE,Île-de-France,Musiques actuelles,Chanson,95,Annuelle,11 (novembre),http://viarmes.fr/,HD238,Viarmes,,17,,,1/1/2002,,,,,,,,,95270,95652,49.12311079,,,,,,,,,,
Les Etoiles du documentaire,Île-de-France,Cinéma et audiovisuel,Documentaire,75,Annuelle,11 (novembre),http://www.scam.fr/Festivaldesetoiles/Accueil,HJ068,PARIS,,12,,,1/1/2007,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
TINTAMARRE,Auvergne-Rhône-Alpes,Musiques actuelles,,3,Annuelle,11 (novembre),http://www.musiquesvivantes.com,AD312,VICHY,,10,,,1/1/2009,,,,,,,,,3200,3310,46.13000514,,,,,,,,,,
FESTIVAL STREET PUNK INK MAS PARTY,Bretagne,Musiques actuelles,Musiques amplifiées ou électroniques,22,Annuelle,11 (novembre),https://fr-fr.facebook.com/streetpunkxmasparty/,CD189,ST BRIEUC,,3,,,1/1/2017,,,,,,,,,22000,22278,48.51498061,,,,,,,,,,
FESTIVAL DU RIRE DE GRAVELINES,Hauts-de-France,Divers Spectacle vivant,Humour,59,Annuelle,11 (novembre),www.tourisme-gravelines.fr/fr/agenda/festival-du-rire,GH021,GRAVELINES,,16,,,1/1/2003,,,,,,,,,59820,59273,50.99756266,,,,,,,,,,
AUJOURD'HUI MUSIQUES,Occitanie,Musiques classiques,Musique contemporaine,66,Annuelle,11 (novembre),http://www.aujourdhuimusiques.com,KE003,PERPIGNAN,,9,,,1/1/2010,,,,,,,,,66000,66136,42.69659541,,,,,,,,,,
TYRANT FEST,Hauts-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,62,Annuelle,11 (novembre),https://www.tyrantfest.com,GD115,OIGNIES,,3,,,1/1/2016,,,,,,,,,62590,62637,50.46444834,,,,,,,,,,
CELTES EN OUCHE,Normandie,Musiques actuelles,Musiques traditionnelles et du monde,27,Annuelle,11 (novembre),www.routeducelte.fr,ID016,CONCHES EN OUCHE,,8,,,1/1/2011,,,,,,,,,27190,27165,48.95472597,,,,,,,,,,
Festival international de cinéma Du grain à démoudre,Normandie,Cinéma et audiovisuel,,76,Annuelle,11 (novembre),http://dugrainademoudre.net/,IJ015,Gonfrevillel Orcher,,19,,,1/1/2000,,,,,,,,,76700,76305,49.48608375,,,,,,,,,,
Festival de la bande annonce du Bois d’Arcy,Île-de-France,Cinéma et audiovisuel,Bandes annonces,78,Annuelle,11 (novembre),,,BOIS D ARCY,,4,,,1/1/2015,,,,,,,,,78390,78073,48.80441857,,,,,,,,,,
Les Petites fugues,Bourgogne-Franche-Comté,Livre et littérature,,25,Annuelle,11 (novembre),http://www.lespetitesfugues.fr/,FK001,BESANCON,Diverses communes,17,,,1/1/2002,,,oui,,,,,,25000,25056,47.25538722,,,,,,,,,,
JAZZ EN OUCHE,Normandie,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FÉDÉCHANSONS,Île-de-France,Musiques actuelles,Chanson,78,Annuelle,11 (novembre),www.fedechansons.fr,HD123,ST GERMAIN EN LAYE,,7,,,1/1/2012,,,,,,,,,78100,78551,48.94070414,,,,,,,,,,
Les Inrocks,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,75,Annuelle,11 (novembre),www.lesinrocks.com,HD017,PARIS,,31,,,1/1/1988,,,,oui,,,,,75001,75101,48.86263049,,,,,,,,,,
JAZZ A FAREINS,Auvergne-Rhône-Alpes,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES KULTUR'ELLES,Occitanie,Musiques actuelles,,11,Annuelle,11 (novembre),musicalsol.fr/,,LA REDORTE,,5,,,1/1/2014,,,,,,,,,11700,11190,43.24773849,,,,,,,,,,
FESTIVAL DON QUIJOTE,Île-de-France,Théâtre,Théâtre espagnol,75,Annuelle,11 (novembre),http://www.festivaldonquijote.fr,HB004,PARIS,,27,,,1/1/1992,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
Under my screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE TYMPAN DANS L'OEIL,Auvergne-Rhône-Alpes,Transdisciplinaire,Cinéma et musique,38,Annuelle,11 (novembre),www.tympandansloeil.com,AA017,GRENOBLE,,9,,,1/1/2010,,,,,,,,,38000,38185,45.18212152,,,,,,,,,,
